Token,Label,Group,Sample Value,Description
[[tenant_name]],Tenant Name,Brand,Stride Logistics,Your organization name
[[brand_logo_url]],Brand Logo URL,Brand,https://example.com/logo.png,URL to your brand logo
[[brand_primary_color]],Brand Primary Color,Brand,#FD5A2A,Your primary brand color
[[brand_support_email]],Support Email,Brand,support@stride.com,Customer support email address
[[portal_base_url]],Portal URL,Brand,https://portal.stride.com,Base URL for customer portal
[[account_name]],Account Name,Account,Acme Corp,Customer account name
[[account_contact_name]],Account Contact Name,Account,John Smith,Primary contact name
[[account_contact_email]],Account Contact Email,Account,john@acme.com,Parsed email from alert recipients
[[account_contact_phone]],Account Contact Phone,Account,+1-555-123-4567,Parsed phone from alert recipients
[[account_contact_recipients_raw]],Alert Recipients (Raw),Account,"john@acme.com, +1-555-123-4567",Raw alert recipients field
[[account_billing_contact_email]],Billing Contact Email,Account,billing@acme.com,Billing contact email
[[account_user_email]],Account User Email,Account,user@acme.com,Logged-in user email
[[shipment_number]],Shipment Number,Shipment,SHP-2024-001,Unique shipment identifier
[[shipment_vendor]],Shipment Vendor,Shipment,FedEx,Carrier/vendor name
[[shipment_status]],Shipment Status,Shipment,In Transit,Current shipment status
[[shipment_expected_date]],Expected Date,Shipment,2024-01-15,Expected arrival date
[[shipment_received_date]],Received Date,Shipment,2024-01-14,Actual received date
[[shipment_link]],Shipment Link,Shipment,https://portal.stride.com/shipments/123,Direct link to shipment
[[item_id]],Item ID,Item,ITM-001,Unique item identifier
[[item_vendor]],Item Vendor,Item,Supplier Inc,Item vendor/supplier
[[item_description]],Item Description,Item,Office Chair - Black,Item description
[[item_received_date]],Item Received Date,Item,2024-01-14,When item was received
[[item_location]],Item Location,Item,"Aisle A, Rack 5",Current warehouse location
[[item_sidemark]],Item Sidemark,Item,ACME-2024,Sidemark identifier
[[item_photos_link]],Item Photos Link,Item,https://portal.stride.com/items/123/photos,Link to item photos
[[items_count]],Items Count,Aggregates,5,Total number of items
[[items_list_html]],Items List (HTML),Aggregates,<div>...</div>,Formatted HTML list of items (card style)
[[items_table_html]],Items Table (HTML),Aggregates,<table>...</table>,Formatted HTML table of items with columns
[[items_list_text]],Items List (Text),Aggregates,"1x Chair, 2x Table",Plain text list of items
[[task_number]],Task Number,Tasks,TSK-001,Unique task identifier
[[task_type]],Task Type,Tasks,Delivery,Type of task
[[task_status]],Task Status,Tasks,Pending,Current task status
[[task_due_date]],Task Due Date,Tasks,2024-01-20,Task due date
[[task_link]],Task Link,Tasks,https://portal.stride.com/tasks/123,Direct link to task
[[release_number]],Release Number,Releases,REL-001,Unique release identifier
[[release_type]],Release Type,Releases,Delivery,Type of release
[[release_completed_at]],Release Completed,Releases,2024-01-15 10:30,When release was completed
[[release_link]],Release Link,Releases,https://portal.stride.com/releases/123,Direct link to release
[[amount_due]],Amount Due,Releases,$150.00,Total amount due
[[payment_status]],Payment Status,Releases,Paid,Current payment status
[[service_name]],Service Name,Billing,Assembly 15m,Name of the service
[[service_code]],Service Code,Billing,15MA,Code of the service
[[service_amount]],Service Amount,Billing,$35.00,Total amount charged
[[billing_description]],Billing Description,Billing,"Assembly 15m: ITM-001",Billing event description
[[user_name]],User Name,General,Jane Doe,Name of the user who performed action
[[created_by_name]],Created By,General,Jane Doe,Name of person who triggered
[[created_at]],Created At,General,2024-01-15 10:30:00,Timestamp when created
